configuration_id,density_name,gap,target_index,target_slice,target_z,seed,n_obs,n_genes,mean_per_gene_spot_pearson,median_per_gene_spot_pearson,gene_mean_pearson,log1p_gene_mean_pearson,gene_variance_pearson,gene_zero_fraction_pearson,library_size_pearson,relative_error_gene_mean,zero_pattern_jaccard,donor_supported
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,30,95,8.363945304623604,32056,24466,1122,0.1818799219847334,0.1421904566431894,0.971373159888794,0.9661306157342056,0.9738089117218648,0.959251971387153,0.3605552024762108,1.0965925038456568,0.8818161740783927,True
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,31,98,8.62772561536686,32057,26705,1122,0.1761582235230666,0.1320177572697602,0.95256804918623,0.9525903723314584,0.9281398116406328,0.9644471214595784,0.3518571347137558,0.6091422372369234,0.8858320444020991,False
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,32,101,8.854363135565341,32058,25528,1122,0.1691758806061089,0.1291302259210628,0.968162145650527,0.9724041317419436,0.9451143476826706,0.9766299572772176,0.3782064109360741,0.8822322892551089,0.8887263469417844,True
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,33,104,9.105147497678178,32059,30012,1122,0.1853356999597959,0.1443509578518055,0.9775772377335332,0.9750645135183262,0.961411863362406,0.975749924467346,0.3820349793907097,0.4493845584868201,0.8625291352909225,False
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,34,107,9.42359190346709,32060,25450,1122,0.1873459383690886,0.1417907112324285,0.9551373960867569,0.9507081563282306,0.9658713642521686,0.952135171309594,0.3878351519359753,0.4144123004590381,0.8732000335070601,True
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,35,110,9.717768925111692,32061,26202,1122,0.1706977090882835,0.125167057262018,0.9509780067607732,0.9562813120392176,0.8997589302563521,0.9609829691185512,0.392937601707351,0.4590197814441727,0.8749870904327751,False
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,36,113,10.049057905517174,32062,20407,1122,0.1604645530774031,0.1163140884196688,0.9759038470656372,0.9764833254405892,0.9512300932614816,0.9808049563611476,0.3769307736788566,0.5110658075858864,0.8855006294051675,True
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,37,116,10.354266571312971,32063,19003,1122,0.1402736439110619,0.0965701859425424,0.9588476015311246,0.9623528343733372,0.9341770776544104,0.9666048619127688,0.3025806719486092,0.3237864213294565,0.8917739099245701,True
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,38,119,10.566925187964772,32064,24225,1122,0.1400095065219633,0.0904059643772303,0.9408109493641148,0.9550896397716212,0.8476293286188741,0.9668935060576492,0.372487199570586,0.5858541097608151,0.907425756752418,True
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,39,122,10.770815386865484,32065,25396,1122,0.1485795625543375,0.1025884116429669,0.95272932992493,0.966232625880219,0.921225262478618,0.9711669420659496,0.3395755097494728,0.4431732817368828,0.9008012654246952,False
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,40,125,10.975185238505748,32066,20340,1122,0.1333621770026476,0.0800009816701475,0.9486403191588656,0.9551855939128004,0.9155540581447876,0.9572295646433387,0.2404281273998755,0.4101265268790776,0.894806319968018,True
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,41,128,11.240226239367429,32067,17454,1122,0.1254872311368827,0.0698615191248108,0.9532178662241816,0.953183951020095,0.9517844288252836,0.963283654781882,0.2396632107936834,0.3301787085630543,0.9082266168239428,False
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,42,131,11.533454649051524,32068,16997,1122,0.1212720235145575,0.0702827851718371,0.934999718382258,0.9347574363172764,0.9106508929841008,0.9439341331936302,0.3121696688329688,1.7020948002496303,0.9127160842716022,False
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,43,134,11.869766509587777,32069,19755,1122,0.1477502766366673,0.0984404167602645,0.961077305395398,0.9687425221546137,0.9598883029985176,0.9736278680955376,0.3780633074162922,0.5085052573318994,0.9107109395356744,True
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,44,137,12.13559388245098,32070,16216,1122,0.1451535587776161,0.0932135091533568,0.985682602594696,0.9901533073523612,0.9731904285010928,0.9928750606635052,0.354746790640148,0.2721625217275615,0.9058766814803456,True
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,45,140,12.3836549780217,32071,11770,1122,0.1100418442418165,0.0623538782795509,0.9758147672913444,0.9789272480771262,0.9419113391960532,0.9825012761469694,0.3261105456741117,0.2330674823172535,0.9096551743346516,True
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,46,143,12.757739820419143,32072,12372,1122,0.108864574886951,0.0623435427009101,0.9500475119125344,0.949669514580566,0.9134201659178524,0.958666204672864,0.4037697592419172,0.4497950680074917,0.9111155331275846,False
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,47,146,13.057739820419144,32073,14027,1122,0.1049236984210152,0.0619144860572448,0.9756759904091156,0.9813195928439524,0.9131690799334864,0.9816344334340346,0.3604880115520401,0.276032326461045,0.9014128877536282,True
study06-allen-abca1-conditional-stack-v5,dense_gap3,3,48,149,13.357739820419145,32074,8829,1122,0.0825690412787864,0.0443398909139111,0.9626817838873064,0.9684360306462224,0.8602320512266116,0.9639534371654768,0.3115527395022568,1.2268917406053756,0.912088885194916,True
study06-allen-abca1-conditional-stack-v5,medium_gap5,5,0,6,0.2,52026,10442,1122,0.1276167521262639,0.071007268419363,0.9910826502428158,0.9921522931961756,0.9874910410123144,0.9920954949439804,0.1189596854987663,0.3171307080922284,0.8583312556667185,False
study06-allen-abca1-conditional-stack-v5,medium_gap5,5,1,11,0.6198209509757062,52027,7644,1122,0.1063932713545506,0.0558835191287914,0.9848333730838784,0.987249500641828,0.9844173522717604,0.9875282975696198,0.0984865684851995,0.1790940836599939,0.8783643229518954,True
study06-allen-abca1-conditional-stack-v5,medium_gap5,5,2,16,0.9752523511274424,52028,9580,1122,0.1207875710920157,0.0647035417356789,0.9586391572915104,0.9655646860219614,0.9308897218901016,0.975989615728582,0.1188951948333405,0.7056783381814145,0.8668680868773292,False
study06-allen-abca1-conditional-stack-v5,medium_gap5,5,3,21,1.3389267592772198,52029,11309,1122,0.1123557324476696,0.0571268014358906,0.979506235780538,0.9832057859680642,0.9826088399980472,0.9830315874311488,0.1289711010814837,0.2641108784668333,0.8735292074273353,True
study06-allen-abca1-conditional-stack-v5,medium_gap5,5,4,26,1.970855827266864,52030,9135,1122,0.1582930046742174,0.1175750725907595,0.9876035058902618,0.9881392234247972,0.9738365261681372,0.9908499312217204,0.2318533209412901,0.3423699924855328,0.8537322739946106,True
study06-allen-abca1-conditional-stack-v5,medium_gap5,5,5,31,2.2700640329181714,52031,10732,1122,0.1756542137877651,0.1293829184771827,0.9679060560284888,0.9779411210478088,0.9466240849529972,0.9821378767720668,0.425847616193493,0.2560239473491153,0.8670661340050255,True
study06-allen-abca1-conditional-stack-v5,medium_gap5,5,6,36,2.760884455979676,52032,9533,1122,0.1868948499298187,0.147728647447662,0.9867409974248076,0.990678164365144,0.9702029892750232,0.9912264765985832,0.4446628034548562,0.4503798676943292,0.8473303070301461,True
