slice_id,simulation_id,alteration_type,method,ARI,NMI,AMI,Homogeneity,Completeness,V_measure,CHAOS,PAS,n_true_clusters,n_predicted_clusters,status,source_set,alteration_value,plot_group,raw_level,level
151508,variance_2,variance,Leiden_unsupervised,0.283758543527,0.379392199612,0.378106363819,0.359266925653,0.401906013285,0.379392199612,0.062658396510,0.330136986301,7,6,ok,frozen_canonical,,variance,2.000000000000,2.000000000000
151508,sparsity_neg_1,sparsity_logit_shift,GraphST,0.306562107232,0.547024489508,0.546378117406,0.447120257222,0.704419476318,0.547024489508,0.055066245345,0.006392694064,7,4,ok,frozen_canonical,,sparsity,1.000000000000,-1.000000000000
151508,sparsity_neg_1,sparsity_logit_shift,STAGATE_mclust,0.080159484539,0.101517810642,0.099315885631,0.097105013064,0.106350768258,0.101517810642,0.058749386929,0.406621004566,7,7,ok,frozen_canonical,,sparsity,1.000000000000,-1.000000000000
151508,sparsity_neg_1,sparsity_logit_shift,Leiden_unsupervised,0.143914902075,0.206691766333,0.203811095189,0.224260628816,0.191675652295,0.206691766333,0.080690698221,0.719634703196,7,11,ok,frozen_canonical,,sparsity,1.000000000000,-1.000000000000
151508,sparsity_neg_0_50,sparsity_logit_shift,GraphST,0.249227916967,0.501764130527,0.500844328574,0.423681341308,0.615130180832,0.501764130527,0.055070975835,0.013242009132,7,5,ok,frozen_canonical,,sparsity,0.500000000000,-0.500000000000
151508,sparsity_neg_0_50,sparsity_logit_shift,STAGATE_mclust,0.199420533009,0.300674097814,0.298861467773,0.271932889410,0.336208771003,0.300674097814,0.056421742023,0.207305936073,7,7,ok,frozen_canonical,,sparsity,0.500000000000,-0.500000000000
151508,sparsity_neg_0_50,sparsity_logit_shift,Leiden_unsupervised,0.141958083146,0.205162120392,0.202510120719,0.217559116038,0.194101775466,0.205162120392,0.078162440745,0.670091324201,7,10,ok,frozen_canonical,,sparsity,0.500000000000,-0.500000000000
151508,sparsity_neg_0_25,sparsity_logit_shift,GraphST,0.268180701658,0.522307325575,0.521274380547,0.471267657084,0.585745253252,0.522307325575,0.055070988160,0.010730593607,7,6,ok,frozen_canonical,,sparsity,0.250000000000,-0.250000000000
151508,sparsity_neg_0_25,sparsity_logit_shift,STAGATE_mclust,0.275511973794,0.441748709969,0.440335333330,0.409472642843,0.479548393034,0.441748709969,0.056102234950,0.113698630137,7,7,ok,frozen_canonical,,sparsity,0.250000000000,-0.250000000000
151508,sparsity_neg_0_25,sparsity_logit_shift,Leiden_unsupervised,0.154412829927,0.224309177919,0.222163221876,0.223001476367,0.225632306908,0.224309177919,0.072441245682,0.537442922374,7,8,ok,frozen_canonical,,sparsity,0.250000000000,-0.250000000000
151508,sparsity_pos_0_25,sparsity_logit_shift,GraphST,0.421704642545,0.548821542668,0.547834007192,0.490073321365,0.623573254173,0.548821542668,0.055105759644,0.018949771689,7,6,ok,frozen_canonical,,sparsity,0.250000000000,0.250000000000
151508,sparsity_pos_0_25,sparsity_logit_shift,STAGATE_mclust,0.488102551875,0.579737807892,0.578759088154,0.582111656001,0.577383242229,0.579737807892,0.055914304246,0.077397260274,7,7,ok,frozen_canonical,,sparsity,0.250000000000,0.250000000000
151508,sparsity_pos_0_25,sparsity_logit_shift,Leiden_unsupervised,0.198517942413,0.273623517968,0.272091324898,0.256073410104,0.293756235439,0.273623517968,0.065934687425,0.457762557078,7,6,ok,frozen_canonical,,sparsity,0.250000000000,0.250000000000
151508,sparsity_pos_0_50,sparsity_logit_shift,GraphST,0.380719613225,0.539384496512,0.538430041241,0.507072025372,0.576095386944,0.539384496512,0.055084412302,0.022831050228,7,6,ok,frozen_canonical,,sparsity,0.500000000000,0.500000000000
