mode,alpha,alpha_stratum,support_variant,metric,metric_label,pca20_value,pca10_value,pca10_minus_pca20,supplementary_sensitivity_only,winner_ranking_authorized
diagonal_affine,1.5,extrapolation,paired_zero_panel_spots_excluded_sensitivity,paired_retrieval_median_rank,Paired retrieval median rank,49.5,228,178.5,True,False
diagonal_affine,1.5,extrapolation,paired_zero_panel_spots_excluded_sensitivity,domain_asw,Domain ASW,0.028006088199,0.0453816727265,0.0173755845275,True,False
diagonal_affine,1.5,extrapolation,paired_zero_panel_spots_excluded_sensitivity,domain_purity_k30,Domain purity (k=30),0.668685328899,0.694535291944,0.0258499630451,True,False
diagonal_affine,1.5,extrapolation,paired_zero_panel_spots_excluded_sensitivity,centroid_distance,Centroid distance,1.68266828289,1.65480214846,-0.0278661344384,True,False
diagonal_affine,1.5,extrapolation,paired_zero_panel_spots_excluded_sensitivity,covariance_distance,Covariance distance,0.166556161089,0.283115736121,0.116559575032,True,False
diagonal_affine,1.5,extrapolation,paired_zero_panel_spots_excluded_sensitivity,mmd2_rbf_biased,Biased RBF MMD²,0.0496511175738,0.0962717098149,0.0466205922411,True,False
diagonal_affine,1.5,extrapolation,paired_zero_panel_spots_excluded_sensitivity,paired_expression_correlation,Paired expression correlation,NA,NA,NA,True,False
shift_only,0.25,interpolation,all_spots_primary,batch_asw,Batch ASW,0.00701495444807,0.0126896090129,0.00567465456485,True,False
shift_only,0.25,interpolation,all_spots_primary,batch_mixing_entropy_k30,Batch mixing entropy (k=30),0.935206063641,0.917222352993,-0.0179837106478,True,False
shift_only,0.25,interpolation,all_spots_primary,paired_retrieval_top1,Paired retrieval top-1,0.778731653282,0.587925782332,-0.19080587095,True,False
shift_only,0.25,interpolation,all_spots_primary,paired_retrieval_median_rank,Paired retrieval median rank,1,1,0,True,False
shift_only,0.25,interpolation,all_spots_primary,domain_asw,Domain ASW,0.0297910127973,0.0735109135784,0.0437199007811,True,False
shift_only,0.25,interpolation,all_spots_primary,domain_purity_k30,Domain purity (k=30),0.67550078464,0.729728607034,0.0542278223945,True,False
shift_only,0.25,interpolation,all_spots_primary,centroid_distance,Centroid distance,0.715929581756,0.691392509601,-0.0245370721555,True,False
shift_only,0.25,interpolation,all_spots_primary,covariance_distance,Covariance distance,0.0468262674913,0.0739335610954,0.0271072936041,True,False
shift_only,0.25,interpolation,all_spots_primary,mmd2_rbf_biased,Biased RBF MMD²,0.0100204646039,0.0183683248559,0.00834786025203,True,False
shift_only,0.25,interpolation,all_spots_primary,paired_expression_correlation,Paired expression correlation,NA,NA,NA,True,False
shift_only,0.5,interpolation,all_spots_primary,batch_asw,Batch ASW,0.0168871608994,0.031058186257,0.0141710253576,True,False
shift_only,0.5,interpolation,all_spots_primary,batch_mixing_entropy_k30,Batch mixing entropy (k=30),0.813686976599,0.771123669059,-0.0425633075404,True,False
shift_only,0.5,interpolation,all_spots_primary,paired_retrieval_top1,Paired retrieval top-1,0.579063971199,0.311271116034,-0.267792855165,True,False
shift_only,0.5,interpolation,all_spots_primary,paired_retrieval_median_rank,Paired retrieval median rank,1,8,7,True,False
